question,type,answer
What is the perimeter of a rectangle with length 32 and width 16?,geometry,96
Calculate the area of a square with side 19,geometry,361
What is the volume of a cube with side 14?,geometry,2744
Find the area of a circle with radius 15,geometry,706.858
What is the area of a triangle with base 30 and height 14?,geometry,210
Calculate the perimeter of a square with side 25,geometry,100
What is the area of a rectangle with length 35 and width 12?,geometry,420
Is true AND false equal to false?,logic,True
What is NOT true?,logic,False
Is false OR true equal to true?,logic,True
What is true AND true?,logic,True
Is NOT false equal to true?,logic,True
What is false AND false?,logic,False
Is true OR false equal to true?,logic,True
What is NOT (true AND false)?,logic,True
Is (true OR false) AND true equal to true?,logic,True
What is false OR false?,logic,False
Is true AND (false OR true) equal to true?,logic,True
What is NOT (false OR false)?,logic,True
Is (false AND true) OR true equal to true?,logic,True
What is true OR true?,logic,True
Is NOT (true OR false) equal to false?,logic,True
What is (true AND true) AND true?,logic,True
Is false OR (true AND false) equal to false?,logic,True
What is NOT (false AND false)?,logic,True
Is (true OR true) AND false equal to false?,logic,True
What is (false OR true) OR false?,logic,True
Is NOT (true AND true) equal to false?,logic,True
What is true AND (true OR false)?,logic,True
Is (false AND false) OR false equal to false?,logic,True
What is NOT (false OR true)?,logic,False
Is true OR (false AND false) equal to true?,logic,True
What is (true AND false) AND false?,logic,False
Is NOT (true OR true) equal to false?,logic,True
What is false OR (false OR true)?,logic,True
Is (true OR false) OR (false AND true) equal to true?,logic,True
What is NOT (false AND true)?,logic,True
Sarah has 45 apples and buys 32 more. How many apples does she have in total?,word_problem,77
A store had 120 books and sold 48. How many books are left?,word_problem,72
John walks 3 miles per day for 7 days. How many miles does he walk in total?,word_problem,21
A baker makes 24 cookies per batch and makes 5 batches. How many cookies in total?,word_problem,120
Maria has 80 dollars and spends 35 dollars. How much money does she have left?,word_problem,45
A farmer has 150 chickens and buys 75 more. How many chickens does he have now?,word_problem,225
Tom reads 25 pages per day for 6 days. How many pages does he read in total?,word_problem,150
A class has 28 students and 12 more join. How many students are there now?,word_problem,40
Emma has 200 stamps and gives away 85. How many stamps does she have left?,word_problem,115
A factory produces 500 units per day for 5 days. How many units in total?,word_problem,2500
Lisa has 65 marbles and loses 28. How many marbles does she have left?,word_problem,37
A library has 300 books and receives 125 more. How many books does it have now?,word_problem,425
Mike runs 5 kilometers per day for 10 days. How many kilometers does he run in total?,word_problem,50
A shop sells 18 items per hour for 8 hours. How many items does it sell?,word_problem,144
Anna has 250 coins and spends 90. How many coins does she have left?,word_problem,160
A garden has 180 flowers and 60 more are planted. How many flowers are there now?,word_problem,240
David writes 12 emails per day for 9 days. How many emails does he write in total?,word_problem,108
A team has 35 members and 15 more join. How many members are there now?,word_problem,50
Sophie has 400 beads and uses 175. How many beads does she have left?,word_problem,225
A restaurant serves 80 meals per day for 7 days. How many meals in total?,word_problem,560
Ben has 95 cards and buys 48 more. How many cards does he have in total?,word_problem,143
A warehouse has 600 boxes and ships 250. How many boxes are left?,word_problem,350
Kate paints 8 pictures per week for 4 weeks. How many pictures does she paint in total?,word_problem,32
A store has 75 toys and receives 45 more. How many toys does it have now?,word_problem,120
Ryan has 320 points and loses 140. How many points does he have left?,word_problem,180
A school has 450 students and 180 more enroll. How many students are there now?,word_problem,630
Laura bakes 15 cakes per day for 6 days. How many cakes does she bake in total?,word_problem,90
A group has 42 people and 18 more arrive. How many people are there now?,word_problem,60
Oliver has 500 stickers and gives away 225. How many stickers does he have left?,word_problem,275
A cinema shows 12 movies per week for 5 weeks. How many movies in total?,word_problem,60
Which is greater: 45 or 38?,comparison,45
Which is smaller: 72 or 89?,comparison,72
Is 156 greater than 134?,comparison,True
Which is larger: 234 or 198?,comparison,234
Is 67 less than 89?,comparison,True
Which is smaller: 345 or 312?,comparison,312
Which is greater: 500 or 475?,comparison,500
Is 234 equal to 234?,comparison,True
Which is larger: 678 or 654?,comparison,678
Is 445 less than 467?,comparison,True
Which is smaller: 789 or 812?,comparison,789
Which is greater: 923 or 901?,comparison,923
Is 567 greater than 543?,comparison,True
Which is larger: 1024 or 998?,comparison,1024
Is 234 less than 256?,comparison,True
Which is smaller: 432 or 445?,comparison,432
Which is greater: 667 or 634?,comparison,667
Is 890 equal to 890?,comparison,True
Which is larger: 1234 or 1198?,comparison,1234
Is 567 less than 589?,comparison,True
Which is smaller: 345 or 367?,comparison,345
Which is greater: 789 or 756?,comparison,789
Is 456 greater than 434?,comparison,True
Which is larger: 890 or 867?,comparison,890
Is 678 less than 699?,comparison,True
Which is smaller: 912 or 934?,comparison,912
Which is greater: 1045 or 1023?,comparison,1045
Is 345 equal to 345?,comparison,True
Which is larger: 567 or 545?,comparison,567
Is 789 less than 812?,comparison,True
What is the next number in the sequence: 2 4 6 8?,pattern,10
Continue the pattern: 5 10 15 20,pattern,25
What comes next: 3 6 9 12?,pattern,15
Find the next term: 10 20 30 40,pattern,50
What is the next number: 7 14 21 28?,pattern,35
Continue the sequence: 4 8 12 16,pattern,20
What comes next: 15 30 45 60?,pattern,75
Find the next term: 1 3 5 7?,pattern,9
What is the next number: 12 24 36 48?,pattern,60
Continue the pattern: 8 16 24 32,pattern,40
What comes next: 9 18 27 36?,pattern,45
Find the next term: 20 40 60 80,pattern,100
What is the next number: 6 12 18 24?,pattern,30
Continue the sequence: 11 22 33 44,pattern,55
What comes next: 25 50 75 100?,pattern,125
Find the next term: 2 5 8 11?,pattern,14
What is the next number: 13 26 39 52?,pattern,65
Continue the pattern: 14 28 42 56,pattern,70
What comes next: 30 60 90 120?,pattern,150
Find the next term: 3 7 11 15?,pattern,19
What is the next number: 16 32 48 64?,pattern,80
Continue the sequence: 17 34 51 68,pattern,85
What comes next: 35 70 105 140?,pattern,175
Find the next term: 4 9 14 19?,pattern,24
What is the next number: 18 36 54 72?,pattern,90
Continue the pattern: 19 38 57 76,pattern,95
What comes next: 40 80 120 160?,pattern,200
Find the next term: 5 11 17 23?,pattern,29
What is the next number: 21 42 63 84?,pattern,105
Continue the sequence: 22 44 66 88,pattern,110
