question,predicted_answer,trace_id,confidence,inference_time
Chris drives 45 miles per day for 8 days. How many miles does he drive in total?,53.0,b318f44f-c86f-46e2-8558-afc1baae7acf,0.9,0.013341426849365234
A chef makes 36 dishes per service and serves 4 times. How many dishes in total?,40.0,c21f02d2-0b5c-4206-8f7d-d4bc1b6e4bad,0.9,0.009557247161865234
Nina has 150 dollars and spends 78 dollars. How much money does she have left?,72.0,02a2f62c-c86f-4804-a105-d9a494f376c7,0.75,0.01365971565246582
A zoo has 320 animals and receives 95 more. How many animals does it have now?,415.0,14175b04-2dc8-4576-b06d-26f45a1eb925,0.9,0.013640642166137695
Sam studies 4 hours per day for 12 days. How many hours does he study in total?,16.0,21641fbb-78e0-4b80-b649-4f44e440720a,0.9,0.014341115951538086
A concert has 156 attendees and 89 more arrive. How many attendees are there now?,245.0,2b9e250d-5e35-4ee0-86c6-db2f9a3d469d,0.9,0.01301431655883789
Grace has 480 tickets and sells 215. How many tickets does she have left?,265.0,cd19f7f0-1d39-4be0-8ee5-72c1fd939501,0.75,0.012176036834716797
A bakery produces 120 loaves per day for 6 days. How many loaves in total?,126.0,6ec050d1-a1a6-4578-82bf-030f2817ea26,0.9,0.010973930358886719
Which is greater: 567 or 489?,567.0,d470b524-65c0-4b9d-872a-9feb7e40afce,0.85,0.01116180419921875
Which is smaller: 234 or 267?,234.0,8a631504-abd6-4fdd-bbb0-7727f60f7489,0.85,0.013576030731201172
Is 789 greater than 745?,789.0,aca770a2-3641-41cc-9353-636064ba4538,0.85,0.01219940185546875
Which is larger: 1234 or 1189?,1234.0,7bd69668-fdad-4312-8c42-3e59be41d69d,0.85,0.12067341804504395
Is 456 less than 478?,456.0,edbe5a97-e393-4680-b8e7-8b1b9429a24c,0.85,0.01119232177734375
Which is smaller: 678 or 695?,678.0,d883f144-a6d5-4ee1-9301-b0fdf69b73b1,0.85,0.019629240036010742
Which is greater: 890 or 867?,890.0,4e312893-e261-4481-afd3-1e0d55ff694a,0.85,0.009559392929077148
Is 555 equal to 555?,True,fb31b3ab-b723-4490-82e9-462e7a6a3845,0.75,0.009553670883178711
Which is larger: 1024 or 998?,1024.0,1bf3949f-23d0-4a6c-beb3-2500dd67f98c,0.85,0.011504650115966797
Is 345 less than 367?,345.0,42872e85-ff6f-4bb7-b237-bee2d947724d,0.85,0.00980997085571289
What is the next number in the sequence: 50 100 150 200?,250.0,2cc1647b-ef3d-458a-ab3d-44cffb726de6,0.75,0.009512186050415039
Continue the pattern: 6 13 20 27,34.0,2eaed7a5-3cb2-4727-82c3-d9b8a8584e4e,0.75,0.01134634017944336
What comes next: 100 200 300 400?,500.0,98907981-7880-42ea-8e4f-820bcbc1cb28,0.75,0.011606216430664062
Find the next term: 7 15 23 31?,39.0,1ce42ab2-8f94-4d98-a65d-f92df400a351,0.75,0.010711908340454102
What is the next number: 45 90 135 180?,225.0,4b752a12-ac6c-4c7c-8a4b-940473a7adc8,0.75,0.010582923889160156
Continue the sequence: 10 21 32 43,54.0,9efcb7d3-b0a5-4572-9d9a-34ba54ebbf75,0.75,0.012968301773071289
What comes next: 80 160 240 320?,400.0,310c0cbe-8230-4f5a-abcd-10a62b6426da,0.75,0.011537551879882812
Find the next term: 8 17 26 35?,44.0,0d99d213-03e8-476f-8b9a-446f79fa6a2a,0.75,0.009545326232910156
What is the next number: 55 110 165 220?,275.0,18efeead-e282-406c-bdf4-d8de7045535b,0.75,0.012916326522827148
Continue the pattern: 12 25 38 51,64.0,3d463db2-0e9e-419a-906a-5831fd16af10,0.75,0.015254497528076172
